,ptr,ggo,ppy,mml,hsa br M 1,hsa br M 2,hsa br M 3,hsa br M 4,hsa br M 5,hsa br F 1,hsa cb M 1,hsa cb F 1,hsa ht M 2,hsa ht M 1,hsa ht F 1,hsa kd M 1,hsa kd M 2,hsa kd F 1,hsa lv M 1,hsa lv M 2,hsa ts M 1,hsa ts M 2,ptr br M 3,ptr br M 2,ptr br M 5,ptr br M 1,ptr br M 4,ptr br F 1,ptr cb M 1,ptr cb F 1,ptr ht M 1,ptr ht F 1,ptr kd M 1,ptr kd F 1,ptr lv M 1,ptr lv F 1,ptr ts M 1,ppa br M 1,ppa br F 1,ppa br F 2,ppa cb M 1,ppa cb F 1,ppa ht M 1,ppa ht F 1,ppa kd M 1,ppa kd F 1,ppa lv M 1,ppa lv F 1,ppa ts M 1,ggo br M 1,ggo br F 1,ggo cb M 1,ggo cb F 1,ggo ht M 1,ggo ht F 1,ggo kd M 1,ggo kd F 1,ggo lv M 1,ggo lv F 1,ggo ts M 1,ppy br M 1,ppy br F 1,ppy cb F 1,ppy ht M 1,ppy ht F 1,ppy kd M 1,ppy kd F 1,ppy lv M 1,ppy lv F 1,mml br M 2,mml br M 1,mml br F 1,mml cb M 1,mml cb F 1,mml ht M 1,mml ht F 1,mml kd M 1,mml kd F 1,mml lv M 1,mml lv F 1,mml ts M 1,mml ts M 2
ptr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mml cb M 1,,,,,0.7831633668623863,0.7572485285742819,0.7472275286338234,0.7442885108916557,0.7218159500972104,0.7876404498991612,0.855294723866242,0.8143152281323325,0.7805307147115891,0.7893073752646234,0.7812072316129679,0.8048254587028686,0.8494584466326055,0.7923911121636388,0.7337030580027554,0.7994459962561553,0.47300157544647725,0.35975292196803116,0.8419284062695184,0.8355438359919393,0.8477173890827073,0.8348533950090876,0.8312406628572184,0.7955877299903604,0.8221271364477953,0.7752747232552378,0.7038878834893549,0.7937482280325332,0.7738339082400009,0.816906352797458,0.7701597088084104,0.7476949027888667,0.13047836818671393,0.7728455098426981,0.7925464461193298,0.8580581372362217,0.8040040203217096,0.8355020159516643,0.7399113886741374,0.7424121087667386,0.8127472136041499,0.845976716297718,0.7804038784783056,0.7550025931603134,0.17204362995593417,0.8362336281422438,0.8541620004207721,0.8560036176567333,0.868010455890863,0.8009508144463453,0.7742663126667122,0.8157344724004301,0.8027329056592765,0.6781186701118952,0.7308257394199819,0.3330489498379242,0.8150642186309315,0.8469476108460263,0.8017533773287832,0.6594722299935568,0.6225481167293763,0.7525483836602548,0.7432903757671173,0.6619725286420569,0.6095651833988887,0.9056864821391692,0.9072495206200806,0.8982164957825133,0.9999813373163974,0.9267111383013747,0.9120430260568018,0.8067534098692584,0.8820242819567042,0.8650037169229275,0.7316561208724991,0.7959703758864172,0.17487675073677622,0.20754685263210138
mml cb F 1,,,,,0.7072873382782772,0.7084683709480133,0.5863900454473113,0.6036337196210301,0.5628031238322595,0.6840964742322105,0.7752419413706313,0.7383452115190711,0.7175169736912808,0.7166056183887904,0.7289515798247554,0.6868908873374249,0.78800021226307,0.720073834172169,0.5974178414481127,0.639531683676196,0.4692559189805778,0.4139409941823915,0.7447661464995503,0.7253422855298743,0.7807999011546153,0.713165614152574,0.8047883657104746,0.6883482003138283,0.7972879160063375,0.7304954856277983,0.7754735839905267,0.7715444079665038,0.7555185854075995,0.7287892881881242,0.6680217947645882,0.6067693259516014,0.3195749137329153,0.7985352167222058,0.6726420933211156,0.7780021986362445,0.7999260531588208,0.8266538398327946,0.750668438068311,0.7456021742242077,0.7514734307146348,0.7968533685098044,0.7003162763240017,0.6938422944059526,0.26307455217159037,0.696965195913018,0.7695116445704502,0.7849195335075632,0.7837772685874865,0.7031379680925073,0.6598899182072885,0.7568615363986262,0.7212657972544815,0.5937557884155614,0.6253785217326543,0.4649514143751945,0.6922675796671527,0.7553418198904706,0.7693607881935917,0.6358684927730152,0.6600832099087599,0.6846130177704247,0.6682811739363811,0.6210345624260054,0.5013515620394693,0.8302863447816046,0.8917565015013235,0.8550406359281278,0.9268321623807336,0.9999987120630237,0.8482636854542729,0.8231686728787956,0.8450269732364528,0.8490068810501469,0.5460485352684157,0.7107219070874089,0.3655654908523343,0.334610849045996
mml ht M 1,,,,,0.7284588691506582,0.6829934961330915,0.7200426061207615,0.760699757192781,0.731526905472482,0.7642837313451726,0.8203040355049585,0.8338527580526313,0.8323046419510483,0.8197736492699295,0.8506735986288206,0.8219751155154784,0.86131498780933,0.8207703596780539,0.7322478556430324,0.797234798338849,0.4608375773000923,0.33861227163051616,0.8388982744638296,0.8334697552222173,0.8493756772361367,0.8431699781614408,0.8092455702802486,0.773219498196829,0.8634731166614638,0.773031655301117,0.7831166704868854,0.8548664020518724,0.843384762607488,0.8793567075800776,0.8366957326584591,0.8317374156899718,0.16811744752300226,0.7473988929006903,0.8066715554258252,0.8712085935824871,0.8368074853070788,0.8529138270905968,0.8551837959484276,0.8341078995715897,0.8830966108326275,0.8999957593007393,0.8243068832946281,0.7936072758923649,0.2308151249988915,0.8174704293840791,0.8202232150215372,0.834852706332716,0.871924602182259,0.8661516059667571,0.8428272865853687,0.8617196440228352,0.8404997092734672,0.7658167633166214,0.7669170325778019,0.3065888281872326,0.8094484644843176,0.8551922673588493,0.8020073861492009,0.7713170076276837,0.7324081464145111,0.832148862860453,0.8287592888658478,0.7437799322354297,0.7384575583534037,0.8371593361115066,0.8212370398092644,0.8484583856877493,0.9120125597051102,0.84801964512447,0.9997483948646112,0.9018846391007179,0.9145916741293078,0.921836718357383,0.8190369956254511,0.8485143632850121,0.1538963775995262,0.22433327102240413
mml ht F 1,,,,,0.7047056907348273,0.6891831985195666,0.6449783599392818,0.6908901233741161,0.6177497120396622,0.7683862136092069,0.7459361468021004,0.7973459242021572,0.8299765583005848,0.806365531186676,0.8692103937181137,0.7153710524323884,0.8184706260416892,0.7989757054573774,0.688957663787463,0.746164845978008,0.5460771140887432,0.5373404160174026,0.7374882738823664,0.7318951722767393,0.7660249708939121,0.7404507310164089,0.787972138610729,0.7764853881279695,0.832492063569316,0.7791648857116653,0.8721249349543132,0.887480090433888,0.8084566453522312,0.8309415529882177,0.8215074780866802,0.784414067395317,0.4931238158553942,0.7652808367566214,0.7127618971970312,0.7911766072906821,0.8257142689074666,0.8012587894638185,0.8824457444158245,0.879818673080752,0.8234890583148136,0.8518150128547911,0.8168423619246811,0.7948259014622032,0.4786543193668052,0.7148112104550107,0.7981674488984332,0.7336479721652595,0.817139610981574,0.8587667668526318,0.827412811760798,0.8260741176665457,0.7850030947671209,0.7473830758227131,0.7485640293523919,0.5556415100377895,0.7166797383523857,0.8142713258786506,0.7358952281379326,0.8449827573781719,0.8088190813338652,0.763343456802279,0.777679255183748,0.7402853269291353,0.7188304883404484,0.7736395621117094,0.7890595969371262,0.8278643063561296,0.8072952505537229,0.8235838671243291,0.9034816328934766,0.9999725700551598,0.8475795654099074,0.8514719629171028,0.6744164681281278,0.8190951350148854,0.4194303338159887,0.49543967314900933
mml kd M 1,,,,,0.7081263965222291,0.6942349989532873,0.6385656541800409,0.6647728449749799,0.6341046412669461,0.7283736933888332,0.7432132233931871,0.7518751849429889,0.7545437232430627,0.7348654331424919,0.7740446572516662,0.7873832013787261,0.8339079204725144,0.7961550585373891,0.6952643025282073,0.7334221247607701,0.38659094452836135,0.32174318207219665,0.7906112265844235,0.7679308313798238,0.8028178929071107,0.756314808019114,0.7967887066375099,0.7355839923014605,0.7790450826140778,0.7317314770209434,0.7761741179248397,0.8374549994509441,0.8482422865673502,0.8451296330084008,0.7418024630200762,0.7369675002262984,0.16545551611147466,0.7841534439800042,0.7343120069538369,0.8040616943829085,0.7770782868731799,0.7764490000173405,0.7738818112798744,0.7715849601681587,0.8401654477195803,0.8451139204369239,0.7802899661310094,0.7045016519194555,0.204832366979755,0.7318829416665998,0.7994526506904343,0.7500397986241644,0.7890446977421331,0.7707147931027595,0.7436031766193414,0.8567020246677296,0.8174456484837586,0.6648823836690588,0.6971210144286275,0.31032960659314496,0.7323119996817755,0.8079060292968684,0.779478945937176,0.6894742067506419,0.6896504852099211,0.8248507604302882,0.806892881271549,0.6900537057821332,0.6395687660792423,0.8225681340390112,0.8495987649195373,0.8458604152737179,0.8818637731736404,0.8449737402815555,0.9143166296941214,0.8471815666236083,0.9999995130383533,0.9407069155784354,0.7464531949589297,0.840911455802925,0.1796676189843588,0.21559147557428476
mml kd F 1,,,,,0.7269918485584075,0.7002140385903565,0.6478935132625717,0.589092714300134,0.640301707972717,0.7233260576832782,0.7960005390242735,0.7465233889757649,0.7782876514567341,0.7810515900319451,0.8116519197810921,0.8008990766150916,0.8676328096903279,0.8539745682847233,0.6775584326045027,0.724173988254314,0.566627085541876,0.4822881437057224,0.8395184109659406,0.813025280964125,0.8534933514654732,0.8167271517464297,0.845740095260786,0.7294301250227923,0.8206638753783787,0.7445607123244097,0.7695646946952339,0.8082742704283661,0.8073421529624673,0.8249095697797212,0.7391657419508364,0.7506720292844636,0.3452525602426445,0.8128506814924596,0.7843925854182892,0.827681383357373,0.8200585820766314,0.823077613847438,0.8004883835157571,0.7746804020292462,0.8661885327248512,0.8695992194738258,0.7096958945495153,0.7182081349993892,0.3107029471962274,0.7889758138978089,0.8099204234356583,0.7877833734120085,0.8281885441366621,0.7900098192363958,0.75564548093202,0.8757248847980649,0.8686243935335957,0.7253570114566175,0.7450945693447638,0.49834477395022464,0.7584674668019923,0.7922699475847865,0.746314068071425,0.6731938180031682,0.6970043680162336,0.8444122333766129,0.812683867645744,0.7226110426718045,0.6753524950712153,0.8234241695385576,0.8172016113561633,0.8280644347834969,0.8646779385977811,0.8490109009169091,0.9228796982047575,0.8507753783157269,0.9409429627948211,0.9999408028725116,0.7088364912943214,0.8315817708243063,0.40966483111021296,0.3892076007571257
mml lv M 1,,,,,0.6759087794982788,0.581480612603538,0.7750319641000689,0.7048103871591314,0.7782293634414116,0.735268534724631,0.6831534193553396,0.6857824722678431,0.5945845241001991,0.6137565940790495,0.6000147839927481,0.6939290370183292,0.661227424990213,0.6736203750363967,0.5680575909835686,0.7053853421808153,0.6882052696368057,0.5151455424630175,0.7249177056718152,0.7132616346955102,0.7147960875604698,0.7846005634574904,0.6348064595421259,0.6841727653864381,0.6302411537825925,0.5898875269769965,0.3897586107812585,0.5326417616310605,0.6287317334014295,0.7777318903103796,0.8197465622184903,0.8306046528378144,0.3412413498831202,0.5322400386453324,0.6886640776459655,0.7245474866285017,0.5820357209162489,0.5934342330454342,0.5389074057303863,0.4968264097281171,0.7382795969904735,0.6882649562553723,0.7001311141510491,0.6960319993993753,0.45037881093434873,0.7817788307359328,0.7105141057873169,0.6092336840374397,0.6876249636284418,0.690092400105957,0.7368103969322904,0.5793751081091041,0.7469441411960268,0.527137589326011,0.6206407677915503,0.4417110337095421,0.7602904769272573,0.7477655050857317,0.508502536252091,0.6175485692407983,0.41776396747113037,0.6258524393837487,0.632963598248959,0.5642005964807221,0.732963677677762,0.7327423085306599,0.6275974707824792,0.7105741108437489,0.7323960535925058,0.5472841606766022,0.8201499841407167,0.6746846833526277,0.7477781357356279,0.7115146664516395,0.9999358079910261,0.8853983464056512,0.3092103883860272,0.417820224609331
mml lv F 1,,,,,0.7250640470750347,0.6418966648311142,0.7034500078273974,0.649330112264004,0.6838010669412397,0.7505470202384242,0.7331934122858395,0.7567330050361776,0.7271123550888854,0.7142857400133493,0.7436677408447028,0.6753146979736272,0.7414608972024196,0.7583264275989984,0.6726145929412246,0.7455139714910279,0.6050285117140921,0.5084282500187804,0.7515522458861641,0.7278006083785388,0.7619115335854135,0.7751727738239272,0.7489000162463861,0.7486049415880592,0.7390326381462737,0.6960375213412385,0.6587032851970235,0.7162700108067185,0.7366042949246623,0.7916945887937195,0.8341858462133156,0.809738216371236,0.41471484233751493,0.6862622404186224,0.6834874836225745,0.7310602259724177,0.7211181173632203,0.6816963354133215,0.6998177330682612,0.6804071184461943,0.7941249433851394,0.7599248882942549,0.7697759001414112,0.733931721875026,0.4657655449212388,0.7738823195774679,0.7831713179898011,0.6646470830504491,0.7523996945611534,0.7540101132925248,0.7599640742598887,0.701947838767475,0.7761768397446226,0.6390928235915107,0.724534624929825,0.49410984683926196,0.7497672588515942,0.807387002521222,0.6640546272165853,0.7069317116906898,0.5824658718633483,0.7146844390676023,0.7312900922241339,0.6911483776221201,0.7640686750376751,0.7381057990958683,0.7228921209953336,0.7632935983763359,0.7957874043280697,0.7109986476292183,0.8486430113284023,0.8181841858786053,0.8412171938777488,0.8316893849677977,0.8841131034214558,0.9999620763600665,0.4196977398567468,0.4684781260750295
mml ts M 1,,,,,0.4086991275789347,0.4060059359887681,0.3976901125823961,0.28630511794643776,0.2761599585795561,0.4546500202339151,0.41834592335614973,0.42789785192950414,0.4089369843208023,0.48293243657404655,0.42368515862411826,0.4142958743924236,0.42270111072386995,0.4240861937397153,0.1620477149565077,0.1680429432823286,0.7362489969280022,0.8238352868013343,0.3746054029167546,0.3040893505684805,0.36473795693252425,0.3926023678835216,0.4013381580400213,0.3058628261285801,0.43677956472069235,0.35513262828977094,0.4463041504885238,0.203290420366847,0.1885908295333109,0.30655437156428716,0.35991180878726714,0.3002707986888761,0.8365407508273269,0.4524253833046024,0.3657876556578602,0.36205129290412535,0.4939397449228317,0.4173153097690367,0.5596764190910332,0.298239680310747,0.43714928906744877,0.4426677456761482,0.1506207108760558,0.3808475772149308,0.7941969274026052,0.42390966102228655,0.4820860650756363,0.45788450601836145,0.5061356991523717,0.3816601844419068,0.4978366456157601,0.2744339610997916,0.4303758047059883,0.44335971214140046,0.46649166274676457,0.8623796318516437,0.3373196219612308,0.37710861494693143,0.16689413288401347,0.5555633214985902,0.550961635239407,0.4413070044889746,0.472732141342079,0.6070924527114065,0.4604143962505801,0.3437646485235553,0.42679536047764544,0.4302505287822225,0.17423779638712805,0.36327045584716905,0.16228641518052983,0.41974423219871093,0.1770274046279741,0.4085023746205284,0.3080326845879824,0.42018760401197913,0.9999555435769695,0.9510015555472789
mml ts M 2,,,,,0.44430676260646107,0.42030270103077,0.48748541941243495,0.3916418004118655,0.388199434249665,0.5332109434741059,0.4485371504808462,0.4804468841798207,0.4385967309445515,0.5230993447216239,0.46433864500678984,0.45141181539063463,0.4409973085667043,0.45010328999463955,0.16867689346686032,0.21340324524582618,0.7774353819305057,0.8414098689723526,0.41270437296390433,0.3467525712480019,0.39544366885636606,0.45228152959288614,0.4160367786876086,0.40361464401905983,0.4739076336265903,0.42407872534724295,0.44281843202298904,0.24519916534757352,0.24446953427832105,0.40192581164764113,0.4559706786278664,0.40932797546573685,0.8620288858301008,0.4332965338041149,0.41300579457352016,0.42221275466216523,0.5236351973665812,0.4295153998177625,0.570412708779082,0.34249528423379555,0.49090898784184006,0.49018781851966914,0.21175670435712235,0.4457975045832739,0.879959598379532,0.5023020348023122,0.5485282051193898,0.47549254700727944,0.5519908811155764,0.47096216289836157,0.6024830584499589,0.2958417630396312,0.4711880633153017,0.4552355379884029,0.48237311103788294,0.8478041177925836,0.3971279162660604,0.43592640281224515,0.16063544108455538,0.6273999815559579,0.5321589117739539,0.4139822000483691,0.4736159370098879,0.5669384812481961,0.5261784009262003,0.40485613749140853,0.4342008739723078,0.4802852783683417,0.20663072257693763,0.3323539352405543,0.2324283931760101,0.4960884493371882,0.2131142058796133,0.38999190494124797,0.41564480222775313,0.4688979905654429,0.9503872979462799,0.9999499754188835
mmu br M 2,,,,,0.7090770449103104,0.6710067059858374,0.6930996235113307,0.6440341914837505,0.6980004292581072,0.716866971905441,0.76520993630928,0.7563715665153827,0.7014027927896926,0.7475690946387563,0.7521183563504938,0.7282716634563426,0.7828456257480264,0.7898732501837783,0.5972949601367415,0.6464654479691009,0.579158449989119,0.521362086207258,0.7902157890755577,0.7598222317820288,0.8053485190777316,0.7716508552489426,0.7994747948890989,0.759185985402134,0.7933614222005115,0.757018775342822,0.6826114645872337,0.7072960012920567,0.7723440758020798,0.8070259843352121,0.7364389785058887,0.7190926747326389,0.36775357157657995,0.7778998897010304,0.7772954710129241,0.7669712391883095,0.7739143050487681,0.7661245984184941,0.6967657393960309,0.7026589504266385,0.8131685372728864,0.8242680604014302,0.689105185364218,0.7524869018550134,0.39805019558906646,0.78333986063239,0.7854382971069804,0.7425190845680537,0.7684317475279185,0.6988434547051571,0.7125456027324849,0.7591841929973808,0.803306268127549,0.6326886808637693,0.6756144936781247,0.5104231443389075,0.7523741978596294,0.787401481412585,0.7109125815702413,0.5902684961058391,0.5800814026845926,0.6937133572514613,0.7175282572992217,0.6038436913115827,0.6007038765539303,0.7919956488151477,0.8148694996902043,0.8252879869904506,0.8231476678924753,0.8057580945902855,0.803009970093253,0.7610277891015926,0.8184288171072941,0.8216416642055885,0.636006958147048,0.7501660083676053,0.39425069159408893,0.4013518888745373
mmu br M 1,,,,,0.7540680760337871,0.7183206154245414,0.7301917770897037,0.6766803194762209,0.7190337314239447,0.7608448677712341,0.7955299057278471,0.7640878870420199,0.701014740977667,0.7601966951533119,0.7654635016494583,0.7515017593453227,0.8061303812834234,0.8178883874316836,0.6191494198409926,0.652600931773954,0.618854793538954,0.5665678034373667,0.8182987103934174,0.800736914539065,0.8267062074358975,0.7966536075987227,0.8296820331027019,0.7967847440987434,0.8196335683194508,0.7986001013112277,0.6771785802439759,0.7177493072094893,0.7820889096945257,0.824421724920238,0.7374102542096436,0.7427742803365058,0.4369337963092966,0.8191289225321712,0.8264034642469419,0.8003570624727199,0.8186149198020177,0.8076352721351079,0.7284744201749482,0.7214729759417212,0.832714719936103,0.8461372305578279,0.6928227565958303,0.7633087480361257,0.44531753899651216,0.801454794799909,0.806246199581507,0.7576689189512535,0.7962545157461632,0.7221095678786844,0.7225355513875161,0.7844613006031449,0.8241825899263113,0.6633730046449874,0.6980516277798458,0.5640237932102838,0.7867330716010363,0.8058434722332539,0.7117110073340404,0.575455377398567,0.5822185238662054,0.7118864060026613,0.729781166387069,0.5946280828785179,0.6008475938541669,0.8032950264647655,0.8149892891796524,0.8347671293896607,0.8002860567259464,0.7685141650634082,0.7828102913841041,0.7527005439536538,0.7895346203774878,0.8136266936859148,0.6100897691662502,0.721223606012409,0.411732933277093,0.4268596171346076
mmu br F 1,,,,,0.7433632951220263,0.718642398421029,0.6953881473987429,0.6473639826765243,0.69232869706074,0.743093832600776,0.7745482183523736,0.7513453073449446,0.6915091627656713,0.7446658547571269,0.7550513524074243,0.7249303686874988,0.7932229347823329,0.7998473321110705,0.6373441901357192,0.6553883155413723,0.45597078184339435,0.401888929510081,0.8010904498021457,0.7827249944554727,0.812310194930481,0.7666038907072532,0.8283774055965833,0.784538009700913,0.8064230284579738,0.786709805133757,0.6959136093184929,0.7444572662179403,0.8036882202536341,0.8060388765509178,0.7159960589969123,0.7093507574609518,0.22361676954687792,0.8242984917990205,0.8037103887029895,0.7850085281250504,0.8042281866336943,0.7914915199074187,0.7136305432925254,0.751788047147884,0.8128379559102665,0.827846406316459,0.7170514383332424,0.7540436531793309,0.2594925845557662,0.769869779591624,0.7878002139441209,0.7254546411372288,0.7633038666503947,0.7108451860765972,0.6912183196459628,0.7868385498541726,0.7944918838907754,0.6334132540496993,0.6637561938962754,0.3852186099251585,0.75705076738139,0.7832731304539834,0.723918503737818,0.5586949881250842,0.5716513733325406,0.6837190795497489,0.7015858354391514,0.5626199035544323,0.5717900055221548,0.7911063406817882,0.8161781053350737,0.822451398565463,0.8083347289488247,0.7723367567340832,0.7915215521906122,0.7392284317259594,0.8052157720931605,0.7973498458257543,0.5666820952718081,0.6981836765676754,0.19395284228487658,0.22046922453164963
mmu cb M 1,,,,,0.732166604336557,0.6682287993600133,0.7427677251705601,0.6902866918894255,0.7547949837274806,0.740379176916215,0.8207948583132959,0.8149377854025819,0.72024996318229,0.7899863353225638,0.7810596998320918,0.7604001521894733,0.7992666939632371,0.8071785223718719,0.6030590417461287,0.6580140703914147,0.6354094316266182,0.5537886971655965,0.8068399765837689,0.7903335032992916,0.8201895562773778,0.8086220783096946,0.8037672938322132,0.7750434188349495,0.8566047780095516,0.7988113658463847,0.6798325769074421,0.7109944006384177,0.7669950354695375,0.816356267208241,0.7706795878240825,0.7614507660737194,0.4219814605943686,0.7641790465175423,0.8045855799840667,0.7835902697512747,0.8379735367996043,0.8093297721018985,0.7106134241789455,0.7220956278776646,0.8183319050335086,0.844707069202626,0.6735283076209473,0.7416436017927304,0.47248683251232115,0.8367033482990703,0.8122458624355166,0.795083713267841,0.8369631580953758,0.7399021780514381,0.7424294009542747,0.7658430030611137,0.8264460973651496,0.6540403493613338,0.7071320543121332,0.5411224425706455,0.7564324131440241,0.7844913262603052,0.7078957848170611,0.5840698948169984,0.5612577014508043,0.7107107849922603,0.7350686354000455,0.6073366312923315,0.5929097601299598,0.7984523643336294,0.7797209279496773,0.8164987718809104,0.8284419847651188,0.7774774814584957,0.8155864234158501,0.7557965704805844,0.8026339876179446,0.8250299249934506,0.6548309473792074,0.7478172078378751,0.42001946116495353,0.44714123583798604
mmu cb M 2,,,,,0.6460779565937748,0.618813817400762,0.5857360264144879,0.5703566407887468,0.5862644235323475,0.6693609908825862,0.6930673132746715,0.724811460062983,0.6768283895365055,0.7037888412567408,0.7273807541628569,0.6172891481242295,0.7077364157368113,0.7124044611270514,0.5586430586757948,0.6129574374666992,0.5044272936655352,0.48934622441026715,0.7115779956917133,0.6729798276789769,0.7364980050041394,0.6829128844895743,0.7597245172450462,0.721979012333574,0.7780406140585896,0.7323251348838467,0.7262183987110591,0.7200849052855517,0.7192485422670616,0.7292646120298311,0.7074783791738941,0.6639406116422905,0.39071923470134556,0.7416400333685227,0.6660910617766758,0.7034580103352046,0.7539497446465224,0.7235819837832285,0.6855398651981938,0.7157686324062574,0.7191211101738361,0.7525526222856301,0.6758864813264429,0.7173006526845009,0.40436937233489645,0.6859408893176151,0.7276304521007365,0.6855277745445757,0.7183190658568918,0.67233959831594,0.6705561543751741,0.6855639048285944,0.7122076757571112,0.5702204221944913,0.622470732299708,0.5008531302354917,0.6541212299061048,0.7337013580726985,0.7066645593156953,0.6248260463511401,0.614670630517284,0.6218068702809812,0.6491382457595296,0.5904128091562335,0.5657177738326279,0.7194757195576347,0.7737824564384257,0.7681554160242082,0.7942150414814088,0.8110511253974358,0.7783454587288845,0.8031757218120674,0.7945252146495838,0.7685962961289142,0.5588453391286187,0.7519277255823843,0.4113275502440261,0.4249328570661805
mmu cb F 1,,,,,0.7415567910678865,0.6889604750450032,0.6988424771791404,0.6665029759856631,0.6881528896330749,0.7565524259741052,0.7871675027841603,0.7990747194241767,0.7385362522726818,0.7807452938067575,0.8025995931487641,0.7137220740668008,0.7939520224829878,0.8035720163734533,0.6164398863837129,0.6653319984369789,0.6112507679924566,0.5805571094098146,0.7854879468931053,0.7673891183137899,0.8025692380413608,0.7719096495614467,0.816958816999951,0.7972701335625204,0.8513245118920344,0.8026188056399124,0.7544087509828497,0.7607871881412386,0.7679435836552991,0.793170175360346,0.7660743349585355,0.7381485340248659,0.4706283364288231,0.8002477403481644,0.767311808112454,0.7803237652657666,0.8413386137681542,0.8068517527757403,0.7579057105040627,0.7823716920529288,0.8010392854891336,0.8287315683465888,0.7001487207142929,0.7583973492889304,0.4832199440651459,0.7875010703147923,0.8094074476952817,0.7553372155100094,0.8100434425139281,0.7509452378793722,0.7466830741110463,0.7592680442972354,0.7921282977288895,0.6439809197714035,0.7030457923370445,0.5884178828004901,0.7388557640910577,0.796321997488366,0.7245178409536885,0.6555409577116559,0.62680049360758,0.691656314139431,0.7203897935252718,0.6280942997392348,0.6009711044660141,0.7787094928732836,0.7975535483370217,0.8216332430858204,0.8182468837553574,0.8047709196641037,0.8086721531495856,0.8186346561461041,0.7978599737975116,0.810495313441212,0.6046879646044011,0.7702761233842454,0.4566470778229123,0.4785059418125946
mmu ht M 2,,,,,0.49632047853905875,0.4870879559113921,0.4477762456170653,0.3850045220560884,0.483781679563452,0.5426069619036775,0.5627471095480215,0.6130258330211692,0.7279545949621686,0.7169396728979732,0.747890695626611,0.6328470523145444,0.6955551964311093,0.7376897843056757,0.590386170912742,0.6400951866411096,0.580938716425417,0.5791582446941503,0.642903979318221,0.5980551760740127,0.6577788370973947,0.6379899512044412,0.6723805834907471,0.623777377033204,0.7112694148135447,0.6531996108637065,0.7178521850066046,0.6996805312052135,0.6784017227840735,0.6835764866903019,0.7452745868441932,0.7187559592768787,0.5286417204962667,0.6294294558800329,0.6803313947004006,0.6258658961897883,0.6835201033902109,0.633783256055273,0.7371293971280976,0.7295459470099119,0.7246562341492723,0.7452718584973569,0.6729447584015217,0.7320899219490181,0.5092223534070629,0.6142561770116736,0.6296966430074551,0.5952956829458954,0.648515317002265,0.7037367628978533,0.6704388045682271,0.7297861848880648,0.6864001332061715,0.7057887806649102,0.6872013423104726,0.5695891549354072,0.5863694223114525,0.6432597430559513,0.6043630446322381,0.6532032022207986,0.6979028644344721,0.6922865209104314,0.7323145309108563,0.667772837771676,0.7213613291897757,0.6017472668956305,0.6266781443341584,0.6016294849089968,0.6044392072349031,0.592022347946935,0.7494112096028275,0.7647613226870303,0.7245799456631357,0.7363771632326525,0.5122358792386864,0.6853549772724951,0.46302766215462715,0.4969520857276714
